"","Country_clean","Taxonomic_group","Etiology","Genus_name","Organism_n","Total_N","prop"
"345","Tunisia","Fungus","Eumycetoma","Nigrograna",0,59,0
"346","Tunisia","Fungus","Eumycetoma","Penicillium",0,59,0
"347","Tunisia","Fungus","Eumycetoma","Phaeoacremonium",0,59,0
"348","Tunisia","Fungus","Eumycetoma","Sarocladium",0,59,0
"349","Tunisia","Fungus","Eumycetoma","Scedosporium",6,59,0.101694915254237
"350","Tunisia","Fungus","Eumycetoma","Trematosphaeria",0,59,0
"351","Tunisia","Fungus","Eumycetoma","Trichophyton",0,59,0
"352","Tunisia","Fungus","Eumycetoma","Xenoacremonium",0,59,0
"353","Uganda","Bacteria","Actinomycetoma","Actinomadura",10,249,0.0401606425702811
"354","Uganda","Bacteria","Actinomycetoma","Nocardia",12,249,0.0481927710843374
"355","Uganda","Bacteria","Actinomycetoma","Streptomyces",0,249,0
"356","Uganda","Fungus","Eumycetoma","Acremonium",0,249,0
"357","Uganda","Fungus","Eumycetoma","Aspergillus",0,249,0
"358","Uganda","Fungus","Eumycetoma","Cladophialophora",0,249,0
"359","Uganda","Fungus","Eumycetoma","Cladosporium",0,249,0
"360","Uganda","Fungus","Eumycetoma","Exophiala",0,249,0
"361","Uganda","Fungus","Eumycetoma","Falcifomispora",0,249,0
"362","Uganda","Fungus","Eumycetoma","Fusarium",0,249,0
"363","Uganda","Fungus","Eumycetoma","Madurella",0,249,0
"364","Uganda","Fungus","Eumycetoma","Medicopsis",0,249,0
"365","Uganda","Fungus","Eumycetoma","Microsporum",0,249,0
"366","Uganda","Fungus","Eumycetoma","Neoscytalidium",0,249,0
"367","Uganda","Fungus","Eumycetoma","Nigrograna",0,249,0
"368","Uganda","Fungus","Eumycetoma","Penicillium",0,249,0
"369","Uganda","Fungus","Eumycetoma","Phaeoacremonium",0,249,0
"370","Uganda","Fungus","Eumycetoma","Sarocladium",0,249,0
"371","Uganda","Fungus","Eumycetoma","Scedosporium",0,249,0
"372","Uganda","Fungus","Eumycetoma","Trematosphaeria",0,249,0
"373","Uganda","Fungus","Eumycetoma","Trichophyton",0,249,0
